archiveType,colour,date,heading,lead,photoUrl,photoUrlCropType,role,type,url,year
audio,#FF9F7C,2023-01-31T00:00:00Z,UUDISED. Vene kirik tühistas MTÜ Koos algatatud ühispalvuse,"Moskva Patriarhaadi Eesti Õigeusukirik teatas, et sattus provokatsiooni ohvriks ning tühistab 22. veebruariks kokku kutsutud ühispalvuse. Palvus pidi toimuma koostöös Eestimaa Ühendatud Vasakpartei nimekirjas kandideerivate Kremli-meelsete aktivistidega. Siseminister Lauri Läänemets ütles, et kirik sai oma veast aru ja mingit provokatiivset üritust ei tule.
Lauri Läänemets; reporter Indrek Kiisler",NA,file,content,audio,uudised-vene-kirik-tuhistas-mtu-koos-algatatud-uhispalvuse,2023
audio,#669DED,2023-01-31T00:00:00Z,UUDISED. Täna algab dokumentaalfilmide festival Docpoint,"Täna algab dokumentaalfilmide festival Docpoint. Tänavu aasta teeb eriliseks kontsertlinastuse sari, mille raames loovad ukraina muusikud linastusel tummfilmile elava muusika. Filmivalikust ja festivalist räägib üks programmijuhte filmikriitik Tristan Priimägi. Temaga vestles Maria Kruusement.",NA,file,content,audio,uudised-tana-algab-dokumentaalfilmide-festival-docpoint,2023
audio,#1BABA1,2023-01-31T00:00:00Z,UUDISED. Tartu suusamaratoni stardini on jäänud alla kuu,"Tartu suusamaratoni stardini on jäänud alla kuu. See, kust ja mil viisil 19. veebruaril maratonile start antakse saab kindlaks umbes nädal enne ürituse toimumist. Korraldamiseks on laual mitu varianti, sealhulgas idee, et Tartu maraton stardib hoopiski Käärikult.
Tartu maratoni tegevjuht Indrek Kelk; reporter Jane Saluorg",NA,file,content,audio,uudised-tartu-suusamaratoni-stardini-on-jaanud-alla-kuu,2023
audio,#FF9F7C,2023-01-31T00:00:00Z,UUDISED. Soome ettevõte on loomas lennunduses uudset sõidujagamisrakendust,"Soome ettevõte on loomas lennunduses uudset sõidujagamisrakendust. Idee on rakenduse abil viia kokku näiteks rahvusvaheliste ettevõtete inimesed ja teiselt poolt väiksemad lennukid, mis ettevõttele sobival ajal vajalikul hulgal personali ühest punktist teise toimetaks. Nii võiksid ärilennud tulevikus tellimuse peale toimuda ka Helsingi ja Tartu vahel.
Nordic Aviation Grupi turundus- ja kommunikatsioonijuht Toomas Uibo; Euroopa Komisjoni liikuvuse ja transpordi peadirektoraadi peadirektor Henrik Hololei; reporter Jane Saluorg",NA,file,content,audio,uudised-soome-ettevote-on-loomas-lennunduses-uudset-soidujagamisrakendust,2023
audio,#AFA2EA,2023-01-31T00:00:00Z,UUDISED. Rainer Saks: Ukraina pole veel valmis hävitajaid vastu võtma,"Viimased arengud seoses Ukrainaga.
Julgeolekuekspert Rainer Saks; reporter Mall Mälberg",NA,file,content,audio,uudised-rainer-saks-ukraina-pole-veel-valmis-havitajaid-vastu-votma,2023
audio,#1BABA1,2023-01-31T00:00:00Z,UUDISED. Rahvusraamatukogu platvorm MIRKO pakub 14. veebruarist tasuta e-väljaannete laenutust,"Rahvusraamatukogu platvorm MIRKO pakub 14. veebruarist tasuta e-väljaannete laenutust. Platvormi kasutamiseks peab olema Eesti elanik. Valik ei piirdu e-raamatutega, võimalik on kuulata ka audioraamatuid ja laenutada õppematerjale ning perioodilisi väljaandeid.
Rahvusraamatukogu kogude arenduse osakonna juht Kairi Felt; Kultuuriministeeriumi raamatukogunõunik Ülle Talihärm; reporter
Maria Kruusement",NA,file,content,audio,uudised-rahvusraamatukogu-platvorm-mirko-pakub-14-veebruarist-tasuta-e-valjaannete-laenutust,2023
audio,#669DED,2023-01-31T00:00:00Z,UUDISED. Mullu Ropka raudteeülesõidul juhtunud õnnetuse juurpõhjus jäi tuvastamata,Mullu Ropka raudteeülesõidul juhtunud õnnetuse juurpõhjus jäi tuvastamata. Tarbijakaitse ja Tehnilise Järelevalve Ameti raudteetalituse juhataja Kadi Zavadskis; Ohutusjuurdluse Keskuse uurija Jüri Olde; reporter Tõnu Karjatse,NA,file,content,audio,uudised-mullu-ropka-raudteeulesoidul-juhtunud-onnetuse-juurpohjus-jai-tuvastamata,2023
audio,#669DED,2023-01-31T00:00:00Z,UUDISED. Kaubavahetus Kasahstaniga on kordades kasvanud,"Kasahstan otsib Venemaale sihitud sanktsioonide tõttu tihedamaid kaubandussuhteid Euroopa Liidu, sealhulgas Eestiga. Kaubavahetuse mahud Eestiga on aastaga tõusnud kümnete miljonite eurode võrra.
Eesti suursaadik Kasahstanis Toomas Tirs; Majandusministeeriumi meremajanduse asekantsler Kaupo Läänerand; reporter
Joakim Klementi",NA,file,content,audio,uudised-kaubavahetus-kasahstaniga-on-kordades-kasvanud,2023
audio,#1BABA1,2023-01-31T00:00:00Z,UUDISED. DocPointi avab film karikaturist Gorist,"Algab järjekorras 14. dokfilmide festival DocPoint. Tänasest 5. veebruarini jõuab vaatajate ette 36 maailma tipptasemel dokumentaalfilmi. Festivali avafilm räägib karikaturist Gorist.
Filmi autor Raimo Jõerand; reporter Reene Leas",NA,file,content,audio,uudised-docpointi-avab-film-karikaturist-gorist,2023
audio,#FF9F7C,2023-01-31T00:00:00Z,UUDISED. Arni Alandi. Väliskommentaar,Põhjuseks on ehitushindade plahvatuslik tõus. Noorematele inimestele käib elamispinna üürimine selgelt üle jõu ning ekspertide hinnangul pole valitsus veel adunud kriisi täit tõsidust. Arni Alandi räägib lähemalt.,NA,file,content,audio,uudised-arni-alandi-valiskommentaar-406443,2023
